id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
14589787,Zen on Capital Hill,Townhouse,Entire home/apt,6,1.5,2,190.00,15.00,2,1,100,strict,1
18653005,"Lux 1BR on H Street w/pool, gym, wifi",Apartment,Entire home/apt,3,1,1,246.00,0.00,3,0,,moderate,
15965094,Charming English Basement,Apartment,Entire home/apt,4,1,2,275.00,25.00,2,0,,strict,
8592259,Fun Row House off H Street NE!,House,Entire home/apt,2,1,2,80.00,0.00,3,0,,moderate,
16684913,Capitol Hill Charmer,Apartment,Entire home/apt,4,1,1,125.00,0.00,1,19,100,strict,5.18
6526309,Spacious room & bath in rowhouse,House,Private room,2,1,1,60.00,0.00,3,11,93,strict,0.48
6165767,"Large Capitol Hill 1BR w/patio, gourmet kitchen",Apartment,Entire home/apt,2,1.5,1,123.00,0.00,2,22,95,moderate,0.93
17699981,Noma,Apartment,Entire home/apt,3,1,1,160.00,0.00,1,1,100,flexible,0.64
10720370,"One Bedroom & Bath, Modern Home in Capitol Hill",House,Private room,2,1,1,82.00,10.00,2,30,98,strict,2.74
13659651,Spacious Studio near Union St.,Apartment,Entire home/apt,4,1,0,140.00,0.00,1,18,100,moderate,3.75
4330453,Large Capitol Hill Home w/Parking!,House,Entire home/apt,8,3.5,4,400.00,0.00,3,7,100,strict,0.23
16520026,Modern 1BR Apt just blocks from Union Station,Apartment,Entire home/apt,3,1,1,300.00,0.00,2,2,100,moderate,0.88
17634001,Large home w/parking on Cap Hill!,House,Entire home/apt,6,1.5,3,190.00,0.00,3,6,97,strict,3.53
5904073,CapHill Suite- Steps from Capitol & House/ Senate,Townhouse,Private room,1,1,1,110.00,0.00,4,19,94,flexible,0.76
16783042,Master Suite - Private Bath + Living Room,House,Private room,2,1,0,549.00,0.00,2,0,,flexible,
7706099,"1 Bedroom, Private Apt. H St NE - Cap. Hill Area",Apartment,Entire home/apt,4,1,1,85.00,15.00,3,85,90,flexible,4.29
1281015,"Private, Spacious Retreat in Awesome Location!",Apartment,Entire home/apt,4,1,1,155.00,0.00,1,126,98,strict,2.67
11408835,Atlas District Hideaway,House,Private room,2,2.5,1,507.00,0.00,1,0,,flexible,
16487874,Capitol Hill Comfort Close to the Capitol!,House,Entire home/apt,8,2.5,3,1250.00,0.00,1,0,,strict,
16322835,Cap Hill Townhouse - walk to history,House,Entire home/apt,6,2.5,3,2500.00,0.00,3,0,,flexible,
16158966,Luxurious Rental Near US Capitol for Inauguration,House,Entire home/apt,4,2.5,2,3000.00,0.00,3,0,,strict,
9277671,Capitol Hill Home-Cari's in the City,House,Entire home/apt,9,4.5,5,650.00,0.00,4,0,,strict,
15831131,Charming Exposed Brick Row Home on H St NE,House,Private room,1,1.5,1,40.00,0.00,1,3,100,flexible,0.51
13996084,The Modern Turret in Old City,Condominium,Entire home/apt,2,1.5,1,120.00,0.00,2,11,100,moderate,1.36
11802428,Private 1 Bedroom Apartment,Apartment,Entire home/apt,4,1,1,88.00,60.00,6,8,88,strict,0.58
16258017,Cap Hill/H St Corridor apt for inauguration,Apartment,Entire home/apt,2,1,1,650.00,0.00,4,0,,strict,
2399406,Private Studio -Capitol Hill/H St.,Apartment,Entire home/apt,2,1,0,92.00,15.00,3,95,98,flexible,4.39
4462489,Duplex Capitol Hill/H St- 2br/2bath,Apartment,Entire home/apt,4,2.5,2,95.00,15.00,3,1,100,moderate,0.03
3186210,"Sunny, spacious 1BR in Capitol Hill",Apartment,Entire home/apt,3,1,1,99.00,0.00,2,17,94,moderate,0.52
17665223,Newly Updated Row House w/Parking and Backyard,House,Entire home/apt,5,1,2,125.00,10.00,3,3,93,strict,2.37
16583661,{Contemporary Urban Rowhome},Townhouse,Entire home/apt,9,2.5,3,300.00,50.00,3,13,100,strict,3.55
17926693,Walk to Capitol!  4BR ~ 1 Block to Metro!,Townhouse,Entire home/apt,6,3.5,4,345.00,20.00,2,2,100,moderate,2
2361802,Historic Home steps from Capitol,Apartment,Entire home/apt,4,1,1,150.00,0.00,3,138,96,moderate,3.56
10095110,"The ""Restaurant Row"" house",House,Entire home/apt,4,1.5,2,350.00,0.00,2,6,97,strict,0.81
