ID,name,sex,age,height,weight,team,year,season,city,sport,event,medal
683,Natalie Chioma Achonwa,F,23,190,86,Canada,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
690,Chantal Achterberg,F,31,172,72,Netherlands,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
710,Bryan Josu Acosta Ramos,M,22,175,74,Honduras,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
715,Julio Csar Acosta Gonzlez,M,29,160,62,Chile,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,NA
720,Marcelo Alberto Acosta Jimnez,M,20,NA,NA,El Salvador,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,NA
720,Marcelo Alberto Acosta Jimnez,M,20,NA,NA,El Salvador,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,NA
720,Marcelo Alberto Acosta Jimnez,M,20,NA,NA,El Salvador,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
721,Mara Jos Acosta Acosta,F,24,172,69,Venezuela,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",NA
726,Tanya Acosta,F,25,182,70,Argentina,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,NA
742,Roberto Acua,M,25,208,109,Argentina,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,NA
743,Arslanbek Aylow,M,23,177,75,Turkmenistan,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
750,Seiya Adachi,M,21,172,67,Japan,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,NA
760,Constantin Adam,M,20,202,105,Romania,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,NA
769,Leonie Adam,F,23,162,54,Germany,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,NA
804,Antoine Xavier Adams,M,27,180,79,Saint Kitts and Nevis,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
804,Antoine Xavier Adams,M,27,180,79,Saint Kitts and Nevis,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,NA
804,Antoine Xavier Adams,M,27,180,79,Saint Kitts and Nevis,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,NA
811,Natalie Cammile Adams (-Brannan),F,24,173,65,United States,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,NA
823,Liam Adams,M,29,178,64,Australia,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
827,Mareike Adams,F,26,174,73,Germany,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,NA
832,Nicola Virginia Adams,F,33,164,51,Great Britain,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
834,Paul Adams,M,24,185,98,Australia,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,NA
837,Rachael Alexis Adams,F,26,188,81,United States,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,New Zealand,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
864,Yasemin Adar,F,24,180,75,Turkey,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",NA
867,"Christopher Thomas ""Chris"" Adcock",M,27,183,80,Great Britain,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,NA
869,"  Gabrielle Marie ""Gabby"" Adcock (White-)",F,25,167,NA,Great Britain,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,NA
894,James Adede,M,29,162,92,Kenya,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
900,Oluwakemi 'Kemi' Adekoya,F,23,166,63,Bahrain,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
902,Odunayo Folasade Adekuoroye,F,22,169,53,Nigeria,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",NA
915,Abrar Osman Adem,M,22,168,58,Eritrea,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
916,Biko Adema,M,28,177,85,Kenya,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,NA
924,Aminat Oluwafunmilayo Adeniyi,F,23,165,58,Nigeria,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",NA
925,Adenzia Aparecida Ferreira da Silva,F,29,187,65,Brazil,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,NA
