id,listing_url,neighbourhood,neighbourhood_cleansed,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
27609912,https://www.airbnb.com/rooms/27609912,Financial District,Downtown,Boston,MA,2109,42.35869945,-71.05267909,Hotel,Private room,4,1,1,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware""}",240.00,,,4,$0.00 ,4,7,1,8/23/2018,8/23/2018,100,8,10,10,8,10,10,flexible,1,1
27611562,https://www.airbnb.com/rooms/27611562,Dorchester,Dorchester,Boston,MA,2124,42.28168901,-71.07170307,Apartment,Private room,2,1,2,2,Real Bed,"{Wifi,Kitchen,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,Iron,""Laptop friendly workspace""}",160.00,,,1,$0.00 ,30,30,0,,,,,,,,,,flexible,1,
27625553,https://www.airbnb.com/rooms/27625553,Allston-Brighton,Brighton,Boston,MA,2134,42.34639556,-71.1366215,Apartment,Entire home/apt,8,1,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad}",1000.00,0.00,80.00,4,$10.00 ,2,1125,1,8/28/2018,8/28/2018,20,2,2,2,4,4,2,strict_14_with_grace_period,7,1
27625757,https://www.airbnb.com/rooms/27625757,Allston-Brighton,Allston,Boston,MA,2134,42.34693926,-71.13536855,Apartment,Entire home/apt,8,1,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad}",1000.00,0.00,80.00,6,$10.00 ,2,1125,0,,,,,,,,,,strict_14_with_grace_period,7,
27626629,https://www.airbnb.com/rooms/27626629,South Boston,South Boston,Boston,MA,2127,42.33522695,-71.0369147,Serviced apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove,""Long term stays allowed""}",499.00,0.00,100.00,1,$0.00 ,3,1125,0,,,,,,,,,,strict_14_with_grace_period,52,
27627607,https://www.airbnb.com/rooms/27627607,Hyde Park,Hyde Park,Boston,MA,2136,42.24723684,-71.13157191,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Hot water"",""Host greets you""}",60.00,,,1,$0.00 ,2,2,0,,,,,,,,,,flexible,1,
27627681,https://www.airbnb.com/rooms/27627681,Allston-Brighton,Allston,Boston,MA,2134,42.34704767,-71.13523587,Apartment,Entire home/apt,6,1,2,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad}",1000.00,,80.00,4,$10.00 ,2,1125,0,,,,,,,,,,strict_14_with_grace_period,7,
27634301,https://www.airbnb.com/rooms/27634301,Back Bay,Back Bay,Boston,MA,2116,42.34663106,-71.07768555,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron}",309.00,,,1,$0.00 ,2,60,0,,,,,,,,,,flexible,4,
27634728,https://www.airbnb.com/rooms/27634728,Allston-Brighton,Brighton,Boston,MA,2135,42.33876451,-71.1511249,Condominium,Entire home/apt,4,1,1,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",Other,""Paid parking on premises""}",125.00,500.00,150.00,2,$10.00 ,2,1125,0,,,,,,,,,,strict_14_with_grace_period,9,
27635456,https://www.airbnb.com/rooms/27635456,Jamaica Plain,Jamaica Plain,Boston,MA,2130,42.30392672,-71.10575529,Apartment,Entire home/apt,6,1,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace""}",170.00,,,1,$0.00 ,4,14,2,8/16/2018,8/26/2018,100,10,10,10,10,10,10,flexible,2,2
