id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price_gt_500
4021579,Mario's Retro Hideaway,Apartment,Entire home/apt,5,1,2,175,0,2,61,94,strict,4.26,FALSE
11721962,Two Story Carriage House & balcony!,House,Entire home/apt,4,1,1,110,25,3,66,100,strict,4.67,FALSE
11721669,"Simple, Clean & Quiet Semi1BR Apt",Apartment,Shared room,1,1,1,100,0,1,0,NA,flexible,NA,FALSE
14080841,Modern 2BR Washington D.C Apartment w/Wifi,Apartment,Entire home/apt,8,2,2,175,0,2,3,100,strict,0.38,FALSE
6005894,Room in Logan,Apartment,Private room,1,1,1,95,0,1,0,NA,flexible,NA,FALSE
16337451,"Spacious 1 BD downtown, just blocks from the Mall!",Apartment,Entire home/apt,4,1,1,900,0,1,0,NA,flexible,NA,TRUE
10123617,Chic | Downtown DC | Luxury Penthouse Condo,Condominium,Entire home/apt,8,2.5,2,450,60,2,20,99,strict,1.24,FALSE
15131639,Charming 1Br/1Ba close to Convention Center,Apartment,Entire home/apt,4,1,1,140,25,2,2,100,flexible,0.31,FALSE
7460760,luxury apt in trendy neighborhood,Apartment,Entire home/apt,2,1,1,150,0,1,0,NA,flexible,NA,FALSE
5592949,Master Suite 1BD/1BA HeartDC,Apartment,Private room,3,1,1,130,40,2,72,97,moderate,2.74,FALSE
16733973,Logan Circle Brownstone Apartment,Apartment,Entire home/apt,2,1.5,1,300,0,1,0,NA,flexible,NA,FALSE
16307983,1BR Logan circle,Apartment,Entire home/apt,2,1,1,100,30,3,4,85,moderate,1.08,FALSE
741202,"Gorgeous unit, historic building",Condominium,Private room,2,1,1,127,25,1,200,98,strict,3.61,FALSE
9949954,Stunning Garden Apt in Central DC,Apartment,Entire home/apt,4,2,2,239,25,5,0,NA,flexible,NA,FALSE
16928186,Master BR in Modern 2BR Condo in the Heart of Shaw,Condominium,Private room,2,1,1,120,0,1,1,100,flexible,0.37,FALSE
17650262,Charming & Convenient Shaw Townhouse,House,Entire home/apt,5,2,3,267,50,2,5,88,moderate,3.57,FALSE
16142893,Spacious 4BR home in historic Logan Circle,House,Entire home/apt,8,2.5,4,579,50,3,7,94,strict,1.59,TRUE
2478615,Condo in the heart of 14th st / Logan Circle,Condominium,Entire home/apt,3,1,1,120,0,2,3,100,flexible,0.78,FALSE
1855756,PVT ROOM/PVT BATH/PARKING/BEST LOCATION,Condominium,Private room,2,1,1,115,0,1,292,97,moderate,6.84,FALSE
5755232,Charming row house with fireplace near everything,Apartment,Entire home/apt,5,1,1,99,10,2,189,99,moderate,7.27,FALSE
16830895,2 Bedroom Apartment Perfect for your DC Trip!,Apartment,Entire home/apt,4,1,2,400,0,2,0,NA,flexible,NA,FALSE
17094999,Spacious 2-bedroom in DC near metro,Apartment,Entire home/apt,6,2,2,180,25,1,3,100,moderate,1.48,FALSE
1628328,Private row house apartment in the heart of Shaw!,Apartment,Entire home/apt,4,1,1,117,10,2,168,98,strict,5.43,FALSE
5593241,Cozy Apt Perfectly-Placed for January Visit!,Apartment,Entire home/apt,2,1,1,800,0,2,0,NA,moderate,NA,TRUE
4378992,Two bedroom in Logan Circle,Apartment,Entire home/apt,4,2,2,300,0,2,5,96,moderate,0.2,FALSE
1460558,2BD/2BA Logan Penthouse w/Pvt. Deck,Apartment,Entire home/apt,5,2,2,335,0,2,23,97,strict,0.52,FALSE
1989187,1BR Convention Center/Downtown,Apartment,Entire home/apt,4,1,1,120,70,2,35,97,strict,1.04,FALSE
11031641,Affordable Luxury - Logan/Dupont 1BR,Apartment,Entire home/apt,4,1,1,165,25,1,77,99,strict,5.44,FALSE
4248660,Logan South Apartment -Logan Circle,Apartment,Entire home/apt,4,1,1,175,25,3,5,80,strict,0.16,FALSE
12570122,Lovely 1BD Apt in Mt Vern/Logan Cir,Apartment,Entire home/apt,3,1,1,125,0,1,7,100,strict,0.59,FALSE
14570483,Charming row house in heart of Shaw,House,Entire home/apt,5,2.5,3,225,0,5,1,100,flexible,0.12,FALSE
16453105,Beautiful Studio Apt. in perfect location,Apartment,Entire home/apt,3,1,0,400,0,1,1,80,moderate,0.27,FALSE
16791691,Private bath. Central DC Room. A11. Washington.,Condominium,Private room,3,1,1,70,10,1,35,98,moderate,9.21,FALSE
15470047,1 bedroom condo in Logan/Shaw/Convention Center,Condominium,Entire home/apt,2,1,1,149,0,2,9,93,flexible,1.44,FALSE
8409891,"Modern, open 2BR in heart of Shaw",House,Entire home/apt,6,2,2,150,20,5,15,96,strict,0.76,FALSE
16598840,Cozy bedroom & private bathroom in the heart of DC,Condominium,Private room,2,1,1,250,0,1,0,NA,flexible,NA,FALSE
